Time,Approach,RPS,ActualRPS,SuccessRate(%),AppLatency(ms),QueueLatency(ms),p95(ms),p99(ms),RecordsModified,RecordsFailed,RecordsLate,RecordsInKafka,Lag,ConsumerE2ELatency(ms),ConsumerEnrichmentLatency(ms),DB_CPU,DB_IO,DB_WaitTasks,DB_ActiveLocks,App_CPU,App_Mem,Debezium_CPU,Debezium_Mem,Kafka_CPU,Kafka_Mem,FlawAlert
2026-07-08T14:06:39.3555073+05:30,2,110,18,100,3,0,4,4,18,0,0,0,18,0,0,6,45.45,9,53,0%,0%,1.82%,15.45%,2.18%,76.87%,""
2026-07-08T14:06:42.3775334+05:30,2,260,102,100,3,0,5,6,120,0,0,0,120,0,0,6,0,10,19,0%,0%,6.58%,15.22%,53.73%,77.34%,""
2026-07-08T14:06:45.4179466+05:30,2,410,212,100,4,0,6,6,332,0,0,0,332,0,0,6,0,9,19,0%,0%,4.02%,15.21%,1.94%,77.34%,""
2026-07-08T14:06:48.4532357+05:30,2,560,315,100,4,0,6,6,647,0,0,0,647,0,0,6,2.18,21,31,0%,0%,0.85%,15.21%,1.01%,77.34%,""
2026-07-08T14:06:51.5094189+05:30,2,710,435,100,6,0,10,12,1082,0,0,0,1082,0,0,6,23.95,20,28,0%,0%,1.86%,15.21%,2.97%,77.34%,""
2026-07-08T14:07:03.7179023+05:30,2,1310,876,100,9,0,15,18,3935,0,0,0,3935,0,0,7,1.47,9,28,0%,0%,1.53%,15.21%,58.91%,79.22%,""
2026-07-08T14:07:06.7339852+05:30,2,1460,983,100,20,1,51,64,4918,0,0,0,4918,0,0,7,6.53,9,68,0%,0%,1.50%,15.21%,1.20%,77.35%,""
2026-07-08T14:07:09.7757686+05:30,2,1610,1106,100,11,0,15,15,6024,0,0,0,6024,0,0,7,1.3,10,19,0%,0%,1.63%,15.21%,1.15%,77.35%,""
2026-07-08T14:07:12.8226834+05:30,2,1760,1642,100,13,0,22,22,7666,0,0,0,7666,0,0,7,34.73,10,19,0%,0%,0.85%,15.21%,1.43%,77.36%,""
2026-07-08T14:07:15.8817441+05:30,2,1910,1346,100,17,0,23,28,9012,0,0,0,9012,0,0,7,1.17,10,19,0%,0%,1.79%,15.21%,179.87%,81.22%,""
2026-07-08T14:07:18.9086206+05:30,2,2060,1488,100,15,0,21,25,10500,0,0,0,10500,0,0,7,1.12,22,52,0%,0%,0.77%,15.21%,1.07%,77.28%,""
2026-07-08T14:07:21.9628544+05:30,2,2210,1575,100,21,7,46,52,12075,0,0,0,12075,0,0,7,1.03,25,147,0%,0%,28.19%,15.21%,9.48%,77.29%,""
2026-07-08T14:07:25.0189116+05:30,2,2360,1733,100,18,6,40,53,13808,0,0,0,13808,0,0,7,1.02,26,57,0%,0%,0.79%,15.21%,1.21%,77.29%,""
2026-07-08T14:07:28.0586079+05:30,2,2560,1454,100,25,97,53,61,15262,0,0,0,15262,0,0,7,28.57,9,1908,0%,0%,5.85%,15.21%,137.18%,81.44%,""
2026-07-08T14:07:31.0983895+05:30,2,2710,1669,100,23,160,49,57,16931,0,0,0,16931,0,0,7,0,52,152,0%,0%,4.17%,15.21%,1.26%,77.29%,""
2026-07-08T14:07:34.1527431+05:30,2,2860,1472,100,25,355,62,82,18403,0,0,0,18403,0,0,7,85.94,32,2112,0%,0%,0.80%,15.21%,1.29%,77.30%,""
2026-07-08T14:07:37.2037789+05:30,2,3010,1566,100,22,547,59,68,19969,0,0,0,19969,0,0,7,4.37,42,175,0%,0%,0.86%,15.21%,1.27%,77.30%,""
2026-07-08T14:07:40.2451444+05:30,2,3160,1329,100,26,819,67,79,21298,0,0,0,21298,0,0,7,4.29,11,181,0%,0%,0.79%,15.21%,27.66%,77.29%,""
2026-07-08T14:07:43.3002226+05:30,2,3310,1377,100,30,1066,61,73,22675,0,0,0,22675,0,0,7,0,54,125,0%,0%,0.85%,15.21%,1.49%,77.29%,""
2026-07-08T14:07:46.3466145+05:30,2,3460,288,93.17,357,1230,487,519,22963,0,1683,0,24646,0,0,7,17.65,159,438,0%,0%,8.74%,15.21%,3.89%,77.30%,""
2026-07-08T14:07:49.3881151+05:30,2,3610,0,85.08,770,1232,865,870,22963,0,4026,0,26989,0,0,7,0,182,380,0%,0%,10.57%,14.88%,1.97%,77.33%,""
2026-07-08T14:07:52.4536352+05:30,2,3760,0,77.98,1184,1229,1279,1283,22963,0,6483,0,29446,0,0,7,2.17,142,310,0%,0%,1.13%,14.88%,2.58%,77.27%,""
