Time,Approach,RPS,ActualRPS,SuccessRate(%),AppLatency(ms),QueueLatency(ms),p95(ms),p99(ms),RecordsModified,RecordsFailed,RecordsLate,RecordsInKafka,Lag,ConsumerE2ELatency(ms),ConsumerEnrichmentLatency(ms),DB_CPU,DB_IO,DB_WaitTasks,DB_ActiveLocks,App_CPU,App_Mem,Debezium_CPU,Debezium_Mem,Kafka_CPU,Kafka_Mem,FlawAlert
2026-07-08T14:45:00.1410743+05:30,2,110,12,100,13,0,69,69,12,0,0,0,12,0,0,10,66.5,24,68,0%,0%,1.32%,18.86%,2.33%,78.00%,""
2026-07-08T14:45:03.1514968+05:30,2,260,130,100,4,0,8,11,142,0,0,0,142,0,0,10,51.28,30,40,0%,0%,75.21%,17.27%,68.72%,78.44%,""
2026-07-08T14:45:06.2033095+05:30,2,410,228,100,5,0,7,10,370,0,0,0,370,0,0,10,0,25,19,0%,0%,0.81%,17.27%,1.70%,78.43%,""
2026-07-08T14:45:09.2504828+05:30,2,560,337,100,7,0,11,14,707,0,0,0,707,0,0,10,0,31,77,0%,0%,0.80%,17.27%,1.38%,78.32%,""
2026-07-08T14:45:12.3121577+05:30,2,710,456,100,7,0,12,14,1163,0,0,0,1163,0,0,10,0,24,19,0%,0%,3.40%,17.28%,2.63%,78.33%,""
2026-07-08T14:45:15.3930541+05:30,2,860,548,100,8,0,13,17,1711,0,0,0,1711,0,0,10,4.13,24,19,0%,0%,0.79%,17.28%,1.23%,78.33%,""
2026-07-08T14:45:18.4135986+05:30,2,1010,674,100,11,0,23,24,2385,0,0,0,2385,0,0,10,35.03,25,19,0%,0%,1.20%,17.28%,20.19%,79.17%,""
2026-07-08T14:45:21.4630457+05:30,2,1160,772,100,26,3,82,99,3157,0,0,0,3157,0,0,10,0,25,19,0%,0%,1.71%,17.28%,1.83%,78.27%,""
2026-07-08T14:45:24.5515503+05:30,2,1310,889,100,17,0,42,45,4046,0,0,0,4046,0,0,10,0,48,71,0%,0%,1.01%,17.28%,2.20%,78.28%,""
2026-07-08T14:45:27.5961011+05:30,2,1460,1018,100,28,8,83,90,5064,0,0,0,5064,0,0,10,2.04,25,19,0%,0%,20.76%,17.30%,10.28%,78.29%,""
2026-07-08T14:45:30.6507627+05:30,2,1610,1088,100,13,0,26,29,6152,0,0,0,6152,0,0,10,1.97,27,19,0%,0%,0.82%,17.30%,163.73%,82.23%,""
2026-07-08T14:45:33.7103234+05:30,2,1760,1195,100,24,3,51,56,7347,0,0,0,7347,0,0,10,1.74,26,19,0%,0%,1.04%,17.30%,1.90%,78.19%,""
2026-07-08T14:45:36.7680566+05:30,2,1910,1343,100,24,3,44,56,8690,0,0,0,8690,0,0,10,1.64,27,19,0%,0%,1.25%,17.30%,2.04%,78.19%,""
2026-07-08T14:45:39.8272805+05:30,2,2060,1198,100,31,97,77,84,9888,0,0,0,9888,0,0,10,62.18,70,144,0%,0%,12.37%,17.30%,10.30%,78.20%,""
2026-07-08T14:45:42.8592858+05:30,2,2210,1442,100,26,128,48,66,11330,0,0,0,11330,0,0,10,1.25,59,121,0%,0%,0.96%,17.30%,122.26%,82.09%,""
2026-07-08T14:45:45.9406211+05:30,2,2410,1373,100,24,255,55,64,12703,0,0,0,12703,0,0,10,30.9,62,225,0%,0%,1.07%,17.30%,2.05%,78.21%,""
2026-07-08T14:45:48.9938165+05:30,2,2560,1420,100,26,371,52,61,14123,0,0,0,14123,0,0,10,1.17,71,119,0%,0%,0.80%,17.30%,1.34%,78.21%,""
2026-07-08T14:45:52.0277498+05:30,2,2710,1337,100,24,566,51,57,15460,0,0,0,15460,0,0,10,1.96,35,321,0%,0%,0.80%,17.30%,1.26%,78.22%,""
2026-07-08T14:45:55.0995930+05:30,2,2860,1266,100,31,775,65,66,16726,0,0,0,16726,0,0,10,0.96,46,245,0%,0%,9.27%,17.66%,54.64%,78.20%,""
2026-07-08T14:45:58.1397329+05:30,2,3010,1281,100,30,1053,68,81,18007,0,0,0,18007,0,0,18,0,77,146,0%,0%,5.38%,17.66%,1.44%,78.21%,""
2026-07-08T14:46:01.1805772+05:30,2,3160,690,94.73,140,1230,343,359,18697,0,1041,0,19738,0,0,18,0,73,306,0%,0%,9.28%,17.66%,6.17%,78.22%,""
2026-07-08T14:46:04.2411088+05:30,2,3310,0,85.56,558,1230,702,707,18697,0,3155,0,21852,0,0,18,0,196,453,0%,0%,0.96%,17.66%,1.40%,78.22%,""
2026-07-08T14:46:07.3078783+05:30,2,3460,0,77.67,911,1229,1083,1099,18697,0,5375,0,24072,0,0,18,0,171,756,0%,0%,7.95%,17.93%,4.37%,78.20%,""
