Time,Approach,RPS,ActualRPS,SuccessRate(%),AppLatency(ms),QueueLatency(ms),p95(ms),p99(ms),RecordsModified,RecordsFailed,RecordsLate,RecordsInKafka,Lag,ConsumerE2ELatency(ms),ConsumerEnrichmentLatency(ms),DB_CPU,DB_IO,DB_WaitTasks,DB_ActiveLocks,App_CPU,App_Mem,Debezium_CPU,Debezium_Mem,Kafka_CPU,Kafka_Mem,FlawAlert
2026-07-08T13:14:52.9597764+05:30,5,110,59,100,8,0,17,17,59,0,0,2528,0,0,0,17,17.03,9,197,0%,0%,9.86%,15.06%,10.26%,67.92%,""
2026-07-08T13:14:56.0684787+05:30,5,260,368,100,12,0,43,47,427,0,0,2528,0,0,0,17,14.32,10,0,0%,0%,0.58%,15.06%,0.85%,67.92%,""
2026-07-08T13:14:59.2071033+05:30,5,410,763,100,27,0,73,76,1190,0,0,25920,0,0,0,20,35.96,26,89,0%,0%,69.05%,15.06%,30.62%,68.76%,""
2026-07-08T13:15:02.2411251+05:30,5,560,1046,100,13,0,29,34,2236,0,0,25920,0,0,0,20,24.62,10,0,0%,0%,0.71%,14.81%,4.60%,70.23%,""
2026-07-08T13:15:05.4388051+05:30,5,710,1367,100,89,0,251,266,3603,0,0,39018,0,0,0,20,27.58,46,105,0%,0%,122.40%,17.84%,42.63%,71.46%,""
2026-07-08T13:15:08.5496246+05:30,5,910,1711,100,21,0,31,46,5314,0,0,41548,0,0,0,20,41.85,30,65,0%,0%,0.78%,17.55%,1.13%,71.84%,""
2026-07-08T13:15:11.6069069+05:30,5,1060,1893,100,109,5,327,363,7207,0,0,44033,0,0,0,20,7.32,27,452,0%,0%,10.97%,17.55%,11.79%,72.21%,""
2026-07-08T13:15:14.7230226+05:30,5,1210,1668,100,207,469,484,510,8875,0,0,44033,0,0,0,20,17.5,154,308,0%,0%,0.82%,17.55%,143.35%,75.31%,""
2026-07-08T13:15:18.0145110+05:30,5,1360,1245,100,312,1697,758,781,10120,0,0,61551,0,0,0,20,30.91,154,333,0%,0%,153.59%,17.56%,10.30%,72.50%,""
2026-07-08T13:15:20.8981776+05:30,5,1510,1495,100,237,2827,535,561,11615,0,0,62415,0,0,0,20,16.11,153,304,0%,0%,0.75%,17.55%,1.19%,73.98%,""
2026-07-08T13:15:24.3459679+05:30,5,1660,631,84.89,966,3619,1334,2088,12246,0,2179,65440,0,0,0,20,44.87,202,1159,0%,0%,11.92%,17.55%,9.24%,74.30%,""
2026-07-08T13:15:27.4545898+05:30,5,1810,0,69.23,2203,3630,3058,4348,12246,0,5444,67417,0,0,0,20,13.74,605,1204,0%,0%,0.89%,15.88%,39.58%,74.61%,""
