Time,Approach,RPS,ActualRPS,SuccessRate(%),AppLatency(ms),QueueLatency(ms),p95(ms),p99(ms),RecordsModified,RecordsFailed,RecordsLate,RecordsInKafka,Lag,ConsumerE2ELatency(ms),ConsumerEnrichmentLatency(ms),DB_CPU,DB_IO,DB_WaitTasks,DB_ActiveLocks,App_CPU,App_Mem,Debezium_CPU,Debezium_Mem,Kafka_CPU,Kafka_Mem,FlawAlert
2026-07-08T14:13:38.9089593+05:30,2,110,24,100,3,0,7,7,24,0,0,0,24,0,0,6,0,9,24,0%,0%,3.27%,14.88%,1.16%,76.97%,""
2026-07-08T14:13:41.9269880+05:30,2,260,112,100,4,0,6,7,136,0,0,0,136,0,0,6,209.57,11,19,0%,0%,11.12%,18.18%,10.42%,77.22%,""
2026-07-08T14:13:44.9599903+05:30,2,410,224,100,4,0,6,8,360,0,0,0,360,0,0,6,0,10,19,0%,0%,0.99%,18.18%,1.05%,77.22%,""
2026-07-08T14:13:48.0046679+05:30,2,560,334,100,4,0,7,7,694,0,0,0,694,0,0,6,1.03,10,19,0%,0%,0.81%,18.18%,1.11%,77.22%,""
2026-07-08T14:13:51.0552476+05:30,2,760,453,100,5,0,7,8,1147,0,0,0,1147,0,0,6,0,9,19,0%,0%,0.72%,18.20%,54.11%,79.01%,""
2026-07-08T14:13:54.0983228+05:30,2,910,564,100,7,0,10,11,1711,0,0,0,1711,0,0,6,0,9,107,0%,0%,3.42%,18.21%,1.24%,77.20%,""
2026-07-08T14:13:57.1385105+05:30,2,1060,674,100,7,0,10,12,2385,0,0,0,2385,0,0,6,0,10,19,0%,0%,0.71%,18.76%,1.00%,77.20%,""
2026-07-08T14:14:00.1770053+05:30,2,1210,771,100,9,0,13,13,3156,0,0,0,3156,0,0,7,7.81,10,19,0%,0%,8.38%,19.49%,4.26%,77.21%,""
2026-07-08T14:14:03.2449831+05:30,2,1360,1211,100,12,0,20,21,4367,0,0,0,4367,0,0,7,0,10,19,0%,0%,0.85%,19.50%,187.18%,81.62%,""
2026-07-08T14:14:06.2613014+05:30,2,1510,1053,100,10,0,15,15,5420,0,0,0,5420,0,0,7,0,10,127,0%,0%,10.16%,20.38%,4.72%,77.20%,""
2026-07-08T14:14:09.2959893+05:30,2,1660,1164,100,13,0,27,37,6584,0,0,0,6584,0,0,7,0,19,102,0%,0%,0.81%,20.38%,1.20%,77.20%,""
2026-07-08T14:14:12.3473428+05:30,2,1810,1274,100,13,0,22,24,7858,0,0,0,7858,0,0,7,117.06,25,69,0%,0%,0.83%,20.38%,1.45%,77.21%,""
2026-07-08T14:14:15.4077396+05:30,2,1960,1386,100,22,6,49,70,9244,0,0,0,9244,0,0,7,0,10,19,0%,0%,1.08%,20.38%,95.37%,77.21%,""
2026-07-08T14:14:18.4695820+05:30,2,2110,1451,100,17,0,27,32,10695,0,0,0,10695,0,0,7,2.48,10,19,0%,0%,0.86%,20.38%,1.47%,77.22%,""
2026-07-08T14:14:21.5102667+05:30,2,2260,1609,100,18,3,35,42,12304,0,0,0,12304,0,0,7,0,10,51,0%,0%,14.87%,20.40%,10.02%,77.45%,""
2026-07-08T14:14:24.6190502+05:30,2,2410,1617,100,23,15,48,55,13921,0,0,0,13921,0,0,7,1.9,15,305,0%,0%,5.57%,16.58%,2.15%,77.40%,""
2026-07-08T14:14:27.7021131+05:30,2,2560,923,100,42,294,81,94,14844,0,0,0,14844,0,0,7,1.66,10,24,0%,0%,17.48%,16.81%,142.06%,81.67%,""
2026-07-08T14:14:30.7714685+05:30,2,2710,1004,100,37,621,80,101,15848,0,0,0,15848,0,0,7,1.41,32,309,0%,0%,1.28%,16.81%,2.47%,77.36%,""
2026-07-08T14:14:33.8435152+05:30,2,2860,1065,100,47,944,132,141,16913,0,0,0,16913,0,0,7,1.29,10,33,0%,0%,4.37%,17.48%,2.60%,77.40%,""
2026-07-08T14:14:36.9190180+05:30,2,3010,912,97.27,50,1196,116,127,17825,0,501,0,18326,0,0,7,1.26,10,33,0%,0%,1.29%,17.41%,2.43%,77.40%,""
2026-07-08T14:14:40.0147011+05:30,2,3160,0,87.52,559,1230,682,711,17825,0,2542,0,20367,0,0,7,23.7,182,1755,0%,0%,1.56%,17.41%,133.81%,81.49%,""
2026-07-08T14:14:43.0695133+05:30,2,3360,0,80.23,909,1230,1028,1036,17825,0,4393,0,22218,0,0,7,2.97,50,299,0%,0%,1.23%,17.41%,2.54%,77.39%,""
2026-07-08T14:14:46.1338548+05:30,2,3510,0,72.6,1315,1228,1395,1417,17825,0,6729,0,24554,0,0,7,0,184,379,0%,0%,0.95%,17.41%,2.33%,77.39%,""
