Time,Approach,RPS,ActualRPS,SuccessRate(%),AppLatency(ms),QueueLatency(ms),p95(ms),p99(ms),RecordsModified,RecordsFailed,RecordsLate,RecordsInKafka,Lag,ConsumerE2ELatency(ms),ConsumerEnrichmentLatency(ms),DB_CPU,DB_IO,DB_WaitTasks,DB_ActiveLocks,App_CPU,App_Mem,Debezium_CPU,Debezium_Mem,Kafka_CPU,Kafka_Mem,FlawAlert
2026-07-08T13:12:38.0467272+05:30,1,160,118,100,13,0,27,27,118,0,0,0,118,0,0,0,0.01,10,0,0%,0%,3.60%,16.23%,2.13%,58.68%,""
2026-07-08T13:12:41.1646412+05:30,1,310,571,100,13,0,22,41,689,0,0,380,309,0,0,0,0.64,10,0,0%,0%,0.62%,16.55%,1.02%,58.74%,""
2026-07-08T13:12:44.2890289+05:30,1,460,995,100,25,0,75,93,1684,0,0,380,1304,0,0,0,0.93,15,59,0%,0%,0.63%,16.55%,152.16%,63.07%,""
2026-07-08T13:12:47.3916310+05:30,1,610,1469,100,19,0,44,46,3153,0,0,1816,1337,0,0,0,8.67,10,0,0%,0%,0.84%,16.55%,1.41%,58.99%,""
2026-07-08T13:12:50.5667932+05:30,1,760,1818,100,36,0,112,136,4971,0,0,3865,1106,0,0,0,2.25,10,0,0%,0%,47.56%,16.55%,17.40%,59.31%,""
2026-07-08T13:12:53.6953791+05:30,1,910,2057,100,116,3,276,332,7028,0,0,4747,2281,0,0,0,3.11,10,38,0%,0%,0.78%,16.55%,1.22%,59.45%,""
2026-07-08T13:12:56.8138907+05:30,1,1060,2109,100,431,194,894,921,9137,0,0,8567,570,0,0,0,4.5,110,627,0%,0%,6.12%,16.55%,65.39%,60.07%,""
2026-07-08T13:12:59.8745180+05:30,1,1210,2106,100,391,1335,879,907,11243,0,0,8567,2676,0,0,3,1.93,206,398,0%,0%,1.29%,16.55%,1.19%,60.07%,""
2026-07-08T13:13:02.9143861+05:30,1,1360,1668,100,357,2854,788,805,12911,0,0,11695,1216,0,0,3,3.24,205,390,0%,0%,0.78%,16.55%,1.21%,60.52%,""
2026-07-08T13:13:06.0896957+05:30,1,1560,1502,98.69,358,4310,881,912,14413,0,191,13111,1493,0,0,3,2.61,205,410,0%,0%,15.68%,16.56%,12.60%,60.67%,""
2026-07-08T13:13:09.3648959+05:30,1,1710,40,76.83,2550,4756,3823,3901,14453,0,4359,14551,4261,0,0,3,1.82,259,481,0%,0%,0.71%,16.55%,1.34%,60.96%,""
